id_EXIST,text,path_video,target,description,label
220793,"where’s the fun in sticking to the norms?  winking_face  so, you attracted to women? yeah, mostly. do you know if they want you for real? and you know they want you for real? why are you dressed like that? i don't see your point.  so you're attracted to women, right? hmm. yeah, mostly. and you want them to know that. true? yeah, i guess so. then why are you... why are you dressed like that? i don't see your point.",videos/7086902121072839941.mp4,0,The video critiques the stereotype that a man's clothing choice must align with his sexual orientation by showing someone questioning why a man attracted to women would dress femininely.,YES
220680,"tsuyu asui woozy_face  red_heart  text  jokzstaa 6e &co hco acoj jokzstaa0 jokzstaa .0 'jokzstaa . gagj 7 00' jokzstaa.

translation  jokzstaa 6e &co hco acoj jokzstaa0 jokzstaa .0 'jokzstaa . gagj 7 00' jokzstaa.  is is i'm so sorry",videos/7044276361988607278.mp4,1,"The video shows an artist redrawing an anime character, Tsuyu Asui, into a sexually suggestive and objectifying depiction, changing her from a school uniform into revealing clothing with exaggerated features.",YES
220959," nepsha is a code used for various purposes. it consists of numbers and letters, such as 42s, 4899, 49op, aoop, 122, 2, 1, 4, ig, s, cg, ci1092, o2, [ood talg, f8?r, p, neps/{oe7099, ae?{o9r, noop, [hood ul fini, hoodeq, [rood tmlchhood tn, mainirufeop, and 0.  that nobody know you",videos/7134691379866864901.mp4,1,"A woman performs a handstand on parallettes in a gym, while men in the background observe her, with one man walking past looking at her and smiling.",YES
220026,"discrimination because we arent old or asain. we told her we went to 8 other stores but no! shante_leno  hey, can we please get some toilet paper? 
riiy0  oh, how come? 
shante_leno  ino 1sb 6 66 no ""io wsb dac 45 9 let the other people have it?"" 
riiy0  ""why are you old?"" 
shante_leno  ""yeah, but it's for my family."" 
riiy0  ""they're old."" 
shante_leno  ""yeah, but it's for my family."" 
riiy0  ""no."" 
shante_leno  ""are you serious?"" 
riiy0  ""no, sorry."" 
shante_leno  ""you can check other places."" 
riiy0  ""you can check other places."" 
riiy0  ""you can check other places.""  hi, can we go to the club, please? oh, how come? sorry. how come? no. why? you like the other people? they are older. yeah, but it's for my family. no. are you serious? no, sorry. you can check at other places.",videos/6803837437287173382.mp4,0,A customer is denied toilet paper by a shopkeeper who states she is prioritizing older customers.,NO
220822," woozy_face  ""do you like hearing me be bratty and use naughty words? 'abeu  baby gil!' i need a nap. do you want to go spunking? 'benaye, no buts.' 'what was that?' that's enough. i'm going to count to three and follow your rules on your knees.""  to your research, we don't ever make mistakes we talk in the air like every day live with a chase, live with a chase",videos/7095489710986087685.mp4,1,"The video displays a list of phrases, often associated with dominant/submissive or BDSM dynamics, under the title 'Things bratty me loves to hear'.",NO
220397,"car hacks with laura girls, don't do car oil! remove dipstick and wipe clean. check levels with csupd 222 51-3048. dip and check levels with driving school tv. undo oil cap (harder than it looks!) add oil. always check what oil you need. dip and test again.  all we need to do is pull out this long thing with the weird shape at the end, wipe it with a clean tissue for accurate measurement, dip it back in so you can see what the level of the oil is, then if it comes out and the oil is not between this and this, you need to top up under the cap. yes, that did take me five minutes and it hurt a lot but you know independent woman the way to check what all you need is simply google it make sure you have your year make and model of car and it will tell you what you need do it back up dip the thing back in the thing check the levels and boom you're done done",videos/6961695133238693125.mp4,0,"The video begins with the text 'GIRLS DON'T DO CAR OIL,' a common stereotype, and then shows a woman competently checking and adding oil to a car, thereby challenging and critiquing this sexist notion.",YES
220049,"everyone loves my frankie doniaej. clean the previous detected text by removing repetitions, leaving the text concise and essential, very clean and completely readable in english with all the information.  say hi to tiktok, mom. hi, tiktok. i love your mom. she's my stepmom, and she's bringing us diet coke. thank you.",videos/6828690308549643526.mp4,1,"A woman in a swimsuit is filmed, a man comments ""I love your mom"" to the camera, and she then brings drinks to men by a pool.",YES
220628,this is reasonably accurate to be fair. the shorter hong kong's cbiuk $ the shoner 3 @ girlfriend #he hovg cbiuks shoner0 3 @ girlfriend #he hovg ebiuks shonerd u.  in the sky how my girlfriend thinks i edged at the shower.,videos/7023709117659286790.mp4,1,"The video humorously contrasts how a man perceives himself exiting the shower versus how he believes his girlfriend perceives him exiting the shower, depicting the latter as much messier.",NO
220712," rolling_on_the_floor_laughing  face_with_tears_of_joy  girls vs boys.  so you should bring all your friends oh is drinks drinks fa la la la fa la la la fa la la la drinks, drinks, drinks",videos/7056362059893591298.mp4,0,"A video montage shows a group of schoolgirls physically overpowering and attacking a group of schoolboys, set to music, with the title 'girls vs boys'.",NO
220844,"rewatching all the barbie movies  love-you_gesture  don't blame me, love made me.  oh lord, take me, my drug is my baby i'll be using for the rest of my life don't make me love, make me crazy",videos/7100897191627099397.mp4,0,The video is a fan edit featuring clips of characters from a Barbie movie set to music.,NO
