id_EXIST,text,path_video,target,description,label,analysis,probability
220941,"with  writing to .tasker pink tax absolute scam asda bblade blade razor shaving system suitable for sensitive skin 5x 2x incoming stitch. hi asda, i'd like to ask you some questions regarding your products. my followers have brought to my attention the issue of the ""pink tax"" and i noticed evidence of this in two of your products  asda 3 blade razors for men (5 pack) and asda 3 blade razors for women (2 pack). the men's razors are priced at 40p per razor, while the women's razors are priced at £1.50 per razor. both products appear to be virtually identical. can you justify charging nearly 4 times the price for the pink razors marketed towards women? would you consider lowering the price to make them more fairly priced for women? thank you, lee.  it's £3 a pack for two razor blades for the women. that's £1.50 per razor blade. ladies, i did a thing. since you all loved my smiths one, i decided to take the liberty to write to asda as well you were gonna love this so you can pause it to read it if you want but it basically says blah blah blah my tiktok followers made me aware of this thing called pink tax. i've noticed that your razors are two pounds for men and three pounds for women, blah, blah, blah. men's is 40 pounds per razor. women's is £1.50 per razor. it's clear from the packaging. these are pretty much identical. although i appreciate they may not be exactly the same. my followers are wondering how you can justify paying four times the price for the pink razors marketed at women. to further this, would you consider lowering the price to make the razors more fairly priced for women? i did follow it up with some pictures of the products. obviously, these are the products i'm referring to, so i know which ones we're talking about. let's see if we get a reply, shall we?",videos/7127603784678657285.mp4,1,"The video critiques the 'pink tax' by showing a price discrepancy between men's and women's razors from the same brand, with the creator messaging the company to challenge the higher price for women's products, thus opposing this form of gender-based price discrimination.",NO,"The video is not sexist because it actively critiques and challenges a practice (the 'pink tax') that results in products marketed to women being more expensive than similar products for men, rather than promoting or endorsing such a discriminatory practice.",0.1
220179,"chicken dog summer is afraid of a bunny. she loves watching scary movies but is scared of a bunny. she knows that bunnies are cute and harmless, but she can't help feeling scared. she remembers a time when she was young and a bunny hopped towards her, causing her to scream and run away. since then, she has been scared of bunnies. despite her fear, she still loves animals and enjoys watching nature documentaries. she hopes to one day overcome her fear and be able to appreciate bunnies for the cute and gentle creatures they are.  i got bitches off the xans bitch i got",videos/6898524793121869061.mp4,0,"The video shows dogs, referred to as ""bitches"" (female dogs) in text and initial audio, first sleeping and then one appearing scared of a bunny, with the video's apparent stance being humorous about the dogs' behavior.",NO,"The video uses the term ""bitches"" to refer to female dogs in a humorous context, and while the initial audio might be suggestive, the video's primary intent and framing are not to promote or endorse sexism against women, but rather to make a joke about the dogs.",0.1
220131,"blow this up. i posted a video yesterday asking what women would do if men didn't exist for 24 hours, and did i get a lot of comments. send me thoughts. 

let me say, you're correct, not all men are evil. but let's just say i'm alone on the subway at night, and a man steps into the train car. does my heart start racing? why? because i don't know this man, i don't know what he could do in that moment. yes, he could be the most upstanding citizen in the world, but i'm still going to start a conversation with him to find out. because let's say he does attack me, and in court his lawyers are going to use the fact that i started a conversation with him as evidence. 

but here's the thing, are we scared of all men because we don't know what they could do in that moment? yes. so when you say ""not all men,"" send me thoughts.  i posted a video yesterday asking what women would do if men did not exist for 24 hours and boy did i get a lot of not all men comments and let me just say you're correct not all men are evil i didn't that they are. but let's say that i'm in the subway alone at night and a man steps into this otherwise unoccupied train car. does my heart start racing? yes. why? because i don't know this man. i don't know what he could do in this moment. he's a complete stranger. he could be the most upstanding citizen in the entire world, but i'm not going to start a conversation with him to find that out. because let's say that i do, and let's say that he does attack me, and let's say that this case goes to court. his lawyers are going to use the fact that i started a conversation with him to say that i was asking for it, or that i had mourning after guilt, so i cried rape. so, are all men evil? no. would all men do yes. so when you say things like not all men, you are completely invalidating the experiences and fears of billions of women all over the world.",videos/6878040583307267333.mp4,1,"The video features a woman explaining why the 'not all men' argument is invalidating to women who experience fear of men due to the risk of assault, arguing that women are scared of unknown men because they cannot distinguish who might be a threat, and the video's framing supports this perspective as a valid response to potential danger.",NO,"The video discusses sexism and women's fears but does not itself promote, endorse, or normalize sexism; instead, it critiques a common response ('not all men') that a_i_images to discussions about women's safety and experiences.",0.1
220423,"i'm bitches bitches be like, ""yung hurn is so hot."" and then this is yung hurn  ""mom.""  be like oh my god crolo so hard and then this is crolo i got on my mind if you ain't got the dick then don't waste my time. gives me from the back ass fat. i'm getting fine. you know why? i got fucking on my mind. you know that. i got fucking on my mind. yeah, bitch, it's shit.",videos/6967056627929304326.mp4,0,"The video features a young woman lip-syncing to an audio that begins with the text and voiceover ""bitches be like: 'omg yung hurn is so hot!'"", followed by clips of the musician Yung Hurn engaging in silly behavior, with the video creator's performance and clip selection serving to humorously contrast with and thereby mock the initial statement.",YES,"The video itself promotes sexism by uncritically using and endorsing an audio that employs the derogatory term ""bitches"" to generalize about and demean women's opinions, thereby normalizing this demeaning language and the dismissal of views attributed to them.",0.85
220862,"i think he was a little embarrassed  face_with_tears_of_joy  mermaid_light_skin_tone  hey bro, let's hit the gym after this. i want to ask my boyfriend to play mermaids in front of his friend. babe, wanna play mermaids? *mermaid mode activated* the whole apartment complex is watching. babe, that's amazing.  yeah babe yeah, babe! that's so good!",videos/7105586824223083822.mp4,0,"The video shows a woman asking her boyfriend to 'play mermaids' in a pool in front of his friend, with the boyfriend enthusiastically agreeing and the creator framing the interaction as humorous and positive.",NO,"The video depicts a lighthearted interaction and does not promote harmful stereotypes, marginalization, male superiority, or misogyny; its primary intent appears to be humor and showcasing a playful relationship dynamic, not to endorse sexist ideas.",0.1
220039,"stoopid step-mom .... step-mom, i'm done. either you kick her out or i'll leave. my dad will ask you to leave.  please, this ain't even jealousy. she ain't got a thing on me. trying to rock them ugly jeans, jeans, jeans. you clearly didn't think this through",videos/6817935632141257989.mp4,0,"The video portrays a TikToker acting out a scenario where her step-mom gives an ultimatum, her dad sides with her, and she reacts triumphantly by lip-syncing to song lyrics that demean the step-mom's appearance and worth, with the video framing this behavior as a 'win'.",YES,"The video is labeled YES because it actively normalizes and seemingly endorses stereotypical female-on-female antagonism, specifically demeaning another woman based on appearance ('ugly jeans') and comparative value ('she ain't got a thing on me'), presenting this as a positive and triumphant outcome for the protagonist character played by the creator, thus promoting a harmful stereotype about female interactions.",0.65
220017,"bitches be like  face_with_rolling_eyes  woozy_face   woman_facepalming_medium-dark_skin_tone  text  cabj cniul

cleaned text  cabj cniul  bitches be like, is she your girlfriend girlfriend or y'all just talking? bitch if i kill you are you dead dead or just not breathing?",videos/6793033398706277637.mp4,0,"The video features a woman lip-syncing to an audio that first quotes ""bitches"" asking about a relationship's seriousness, and then responds with a hostile rhetorical question, ""Bitch, if I kill you, are you dead dead or just not breathing?"", with the video creator performing these lines with corresponding expressions, thereby endorsing the audio's derogatory labeling and aggressive dismissal.",YES,"The video is labeled YES because its central content is the performance and amplification of an audio that uses the derogatory term ""bitches"" to refer to women and promotes an aggressively dismissive response to them, thereby endorsing and normalizing harmful stereotypes and misogynistic language.",0.85
220932,"with  who’s leaving the room as soon as they hear that car door slam? ear_medium-light_skin_tone  when our step dad comes home, we step.  where's everybody at? oh, you mean so you can yell at them or you can tell them what they did do, they didn't do it right, or you can tell them what they don't even know they're supposed to do to do it because it benefits you? yeah, they went upstairs, hid out because who wouldn't? do better.",videos/7125562649277992238.mp4,0,"The video humorously depicts step-daughters hiding from their step-dad, followed by the step-dad character sarcastically acknowledging his own critical and demanding behavior, with the video's apparent stance being a critique of this negative behavior rather than an endorsement of sexism.",NO,"The video criticizes a type of parental behavior and does not promote, endorse, or normalize sexism; the issues highlighted are behavioral, not inherently tied to gender in a way that promotes inequality or harm based on gender.",0.1
220391,irgendwie muss er es ja lernen! woman_shrugging_medium-light_skin_tone  vanessa.  it's been a round and round it's been a round and round,videos/6960746868661964038.mp4,1,"The video is a comedic sketch where a woman is cleaning, a man makes a mess while making a sandwich on the clean counter, and she retaliates by using his head to wipe the counter; the video frames this interaction as humorous.",NO,"The video uses a domestic conflict and an exaggerated reaction for comedic effect and does not promote, endorse, or normalize sexism; the humor arises from the unexpected retaliation, not from an endorsement of harmful stereotypes or sexist power dynamics.",0.1
220614,"ice cold baby.   heart_on_fire  ""cold blooded jessi maoe is a fierce individual with a strong personality and a determined mindset. she is known for her unwavering determination and her ability to overcome any challenge that comes her way. her resilience and determination have made her a force to be reckoned with in the world of business and beyond."" ",videos/7019204716429151515.mp4,0,"The video shows a person dancing to the song ""Cold Blooded"" by Jessi; the video's focus is on the dance performance and does not itself promote or endorse any sexist ideas.",NO,"The video is a dance performance and does not contain any elements that actively promote, endorse, or normalize sexism according to the provided definitions; the song lyrics snippet included is not sexist, and the dance itself is not presented in a way that promotes harmful stereotypes or marginalization.",0.1
